,subject,which_regions,demog_question,demog_response,culture
1336,SS1619813220257,North America,overseaexpnum,Three to five experiences,US
1337,SS1619813220257,North America,firstlanguage,Yes,US
1338,SS1619813220257,North America,monolingual,"Yes, I am multilingual",US
1339,SS1619813220257,North America,targetlanguage,No,US
1340,SS1619813220257,North America,objectiveses,"One or more years of college, no degree",US
1341,SS1619813220257,North America,subjectiveses,6,US
1342,SS1619813840906,character(0),zipcode,80220,US
1343,SS1619813840906,character(0),resimobinum,3,US
1344,SS1619813840906,character(0),abroadexp,No,US
1345,SS1619813840906,character(0),overseaexpnum,Six or more experiences,US
1346,SS1619813840906,character(0),firstlanguage,Yes,US
1347,SS1619813840906,character(0),monolingual,"No, just English",US
1348,SS1619813840906,character(0),targetlanguage,No,US
1349,SS1619813840906,character(0),objectiveses,"One or more years of college, no degree",US
1350,SS1619813840906,character(0),subjectiveses,8,US
1351,SS1619814178357,character(0),zipcode,770,US
1352,SS1619814178357,character(0),resimobinum,3,US
1353,SS1619814178357,character(0),abroadexp,No,US
1354,SS1619814178357,character(0),overseaexpnum,Six or more experiences,US
1355,SS1619814178357,character(0),firstlanguage,Yes,US
1356,SS1619814178357,character(0),monolingual,"Yes, I am multilingual",US
1357,SS1619814178357,character(0),targetlanguage,No,US
1358,SS1619814178357,character(0),objectiveses,"One or more years of college, no degree",US
1359,SS1619814178357,character(0),subjectiveses,6,US
1360,SS1619814337589,South America,zipcode,919,US
1361,SS1619814337589,South America,resimobinum,3,US
1362,SS1619814337589,South America,abroadexp,Yes,US
1363,SS1619814337589,South America,overseaexpnum,Six or more experiences,US
1364,SS1619814337589,South America,firstlanguage,No,US
1365,SS1619814337589,South America,monolingual,"Yes, I am multilingual",US
1366,SS1619814337589,South America,targetlanguage,No,US
1367,SS1619814337589,South America,objectiveses,High school graduate/GED,US
1368,SS1619814337589,South America,subjectiveses,4,US
1369,SS1619814570836,character(0),zipcode,934,US
1370,SS1619814570836,character(0),resimobinum,2,US
1371,SS1619814570836,character(0),abroadexp,No,US
1372,SS1619814570836,character(0),overseaexpnum,One experience,US
1373,SS1619814570836,character(0),firstlanguage,Yes,US
1374,SS1619814570836,character(0),monolingual,"No, just English",US
1375,SS1619814570836,character(0),targetlanguage,No,US
1376,SS1619814570836,character(0),objectiveses,"One or more years of college, no degree",US
1377,SS1619814570836,character(0),subjectiveses,8,US
1378,SS1619815515884,character(0),zipcode,950,US
1379,SS1619815515884,character(0),resimobinum,2,US
1380,SS1619815515884,character(0),abroadexp,No,US
1381,SS1619815515884,character(0),overseaexpnum,Three to five experiences,US
1382,SS1619815515884,character(0),firstlanguage,Yes,US
1383,SS1619815515884,character(0),monolingual,"No, just English",US
1384,SS1619815515884,character(0),targetlanguage,Yes,US
1385,SS1619815515884,character(0),objectiveses,High school graduate/GED,US
1386,SS1619815515884,character(0),subjectiveses,9,US
1387,SS1619817463861,character(0),zipcode,328,US
1388,SS1619817463861,character(0),resimobinum,2,US
1389,SS1619817463861,character(0),abroadexp,No,US
1390,SS1619817463861,character(0),overseaexpnum,Three to five experiences,US
1391,SS1619817463861,character(0),firstlanguage,Yes,US
1392,SS1619817463861,character(0),monolingual,"Yes, I am multilingual",US
1393,SS1619817463861,character(0),targetlanguage,Yes,US
1394,SS1619817463861,character(0),objectiveses,High school graduate/GED,US
1395,SS1619817463861,character(0),subjectiveses,7,US
1396,SS1619818174440,"c(""North America"", ""Africa"")",zipcode,943,US
1397,SS1619818174440,"c(""North America"", ""Africa"")",resimobinum,2,US
1398,SS1619818174440,"c(""North America"", ""Africa"")",abroadexp,Yes,US
1399,SS1619818174440,"c(""North America"", ""Africa"")",overseaexpnum,Six or more experiences,US
1400,SS1619818174440,"c(""North America"", ""Africa"")",firstlanguage,Yes,US
1401,SS1619818174440,"c(""North America"", ""Africa"")",monolingual,"No, just English",US
1402,SS1619818174440,"c(""North America"", ""Africa"")",targetlanguage,Yes,US
1403,SS1619818174440,"c(""North America"", ""Africa"")",objectiveses,"One or more years of college, no degree",US
1404,SS1619818174440,"c(""North America"", ""Africa"")",subjectiveses,7,US
1405,SS1619818421789,South America,zipcode,760,US
1406,SS1619818421789,South America,resimobinum,3,US
1407,SS1619818421789,South America,abroadexp,Yes,US
1408,SS1619818421789,South America,overseaexpnum,Three to five experiences,US
1409,SS1619818421789,South America,firstlanguage,Yes,US
1410,SS1619818421789,South America,monolingual,"Yes, I am multilingual",US
1411,SS1619818421789,South America,targetlanguage,No,US
1412,SS1619818421789,South America,objectiveses,"One or more years of college, no degree",US
1413,SS1619818421789,South America,subjectiveses,4,US
1414,SS1619818502355,North America,zipcode,928,US
1415,SS1619818502355,North America,resimobinum,8,US
1416,SS1619818502355,North America,abroadexp,Yes,US
1417,SS1619818502355,North America,overseaexpnum,Six or more experiences,US
1418,SS1619818502355,North America,firstlanguage,Yes,US
1419,SS1619818502355,North America,monolingual,"Yes, I am multilingual",US
1420,SS1619818502355,North America,targetlanguage,No,US
1421,SS1619818502355,North America,objectiveses,"One or more years of college, no degree",US
1422,SS1619818502355,North America,subjectiveses,5,US
1423,SS1619818710224,character(0),zipcode,605,US
1424,SS1619818710224,character(0),resimobinum,4,US
1425,SS1619818710224,character(0),abroadexp,No,US
1426,SS1619818710224,character(0),overseaexpnum,Three to five experiences,US
1427,SS1619818710224,character(0),firstlanguage,Yes,US
1428,SS1619818710224,character(0),monolingual,"Yes, I am multilingual",US
1429,SS1619818710224,character(0),targetlanguage,Yes,US
1430,SS1619818710224,character(0),objectiveses,"One or more years of college, no degree",US
1431,SS1619818710224,character(0),subjectiveses,6,US
1432,SS1620239996894,character(0),zipcode,941,US
1433,SS1620239996894,character(0),resimobinum,6,US
1434,SS1620239996894,character(0),abroadexp,No,US
1435,SS1620239996894,character(0),overseaexpnum,Three to five experiences,US
1436,SS1620239996894,character(0),firstlanguage,Yes,US
1437,SS1620239996894,character(0),monolingual,"No, just English",US
1438,SS1620239996894,character(0),targetlanguage,No,US
1439,SS1620239996894,character(0),objectiveses,"One or more years of college, no degree",US
1440,SS1620239996894,character(0),subjectiveses,6,US
1441,SS1620251084195,character(0),zipcode,921,US
1442,SS1620251084195,character(0),resimobinum,1,US
1443,SS1620251084195,character(0),abroadexp,No,US
1444,SS1620251084195,character(0),overseaexpnum,Three to five experiences,US
1445,SS1620251084195,character(0),firstlanguage,Yes,US
1446,SS1620251084195,character(0),monolingual,"No, just English",US
1447,SS1620251084195,character(0),targetlanguage,No,US
1448,SS1620251084195,character(0),objectiveses,"One or more years of college, no degree",US
1449,SS1620251084195,character(0),subjectiveses,6,US
1450,SS1620253708569,character(0),zipcode,981,US
1451,SS1620253708569,character(0),resimobinum,5,US
1452,SS1620253708569,character(0),abroadexp,No,US
1453,SS1620253708569,character(0),overseaexpnum,Six or more experiences,US
1454,SS1620253708569,character(0),firstlanguage,Yes,US
1455,SS1620253708569,character(0),monolingual,"No, just English",US
1456,SS1620253708569,character(0),targetlanguage,No,US
1457,SS1620253708569,character(0),objectiveses,At least some graduate school,US
1458,SS1620253708569,character(0),subjectiveses,7,US
1459,SS1620280376004,character(0),zipcode,941,US
1460,SS1620280376004,character(0),resimobinum,1,US
1461,SS1620280376004,character(0),abroadexp,No,US
1462,SS1620280376004,character(0),overseaexpnum,Six or more experiences,US
1463,SS1620280376004,character(0),firstlanguage,Yes,US
1464,SS1620280376004,character(0),monolingual,"No, just English",US
1465,SS1620280376004,character(0),targetlanguage,No,US
1466,SS1620280376004,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
1467,SS1620280376004,character(0),subjectiveses,7,US
1468,SS1620319579859,character(0),zipcode,946,US
1469,SS1620319579859,character(0),resimobinum,7,US
1470,SS1620319579859,character(0),abroadexp,No,US
1471,SS1620319579859,character(0),overseaexpnum,Three to five experiences,US
1472,SS1620319579859,character(0),firstlanguage,Yes,US
1473,SS1620319579859,character(0),monolingual,"No, just English",US
1474,SS1620319579859,character(0),targetlanguage,No,US
1475,SS1620319579859,character(0),objectiveses,At least some graduate school,US
1476,SS1620319579859,character(0),subjectiveses,6,US
1477,SS1620327224790,character(0),zipcode,14850,US
1478,SS1620327224790,character(0),resimobinum,2,US
1479,SS1620327224790,character(0),abroadexp,No,US
1480,SS1620327224790,character(0),overseaexpnum,Six or more experiences,US
1481,SS1620327224790,character(0),firstlanguage,Yes,US
1482,SS1620327224790,character(0),monolingual,"No, just English",US
1483,SS1620327224790,character(0),targetlanguage,No,US
1484,SS1620327224790,character(0),objectiveses,"One or more years of college, no degree",US
1485,SS1620327224790,character(0),subjectiveses,8,US
1486,SS1620329211979,character(0),zipcode,947,US
1487,SS1620329211979,character(0),resimobinum,5,US
1488,SS1620329211979,character(0),abroadexp,No,US
1489,SS1620329211979,character(0),overseaexpnum,Three to five experiences,US
1490,SS1620329211979,character(0),firstlanguage,Yes,US
1491,SS1620329211979,character(0),monolingual,"No, just English",US
1492,SS1620329211979,character(0),targetlanguage,Yes,US
1493,SS1620329211979,character(0),objectiveses,High school graduate/GED,US
1494,SS1620329211979,character(0),subjectiveses,9,US
1495,SS1620329695923,character(0),zipcode,852,US
1496,SS1620329695923,character(0),resimobinum,12,US
1497,SS1620329695923,character(0),abroadexp,No,US
1498,SS1620329695923,character(0),overseaexpnum,Six or more experiences,US
1499,SS1620329695923,character(0),firstlanguage,Yes,US
1500,SS1620329695923,character(0),monolingual,"No, just English",US
1501,SS1620329695923,character(0),targetlanguage,No,US
1502,SS1620329695923,character(0),objectiveses,At least some graduate school,US
1503,SS1620329695923,character(0),subjectiveses,8,US
1504,SS1620329984643,character(0),zipcode,943,US
1505,SS1620329984643,character(0),resimobinum,3,US
1506,SS1620329984643,character(0),abroadexp,No,US
1507,SS1620329984643,character(0),overseaexpnum,One experience,US
1508,SS1620329984643,character(0),firstlanguage,Yes,US
1509,SS1620329984643,character(0),monolingual,"No, just English",US
1510,SS1620329984643,character(0),targetlanguage,Yes,US
1511,SS1620329984643,character(0),objectiveses,At least some graduate school,US
1512,SS1620329984643,character(0),subjectiveses,9,US
1513,SS1620331546510,character(0),zipcode,10,US
1514,SS1620331546510,character(0),resimobinum,4,US
1515,SS1620331546510,character(0),abroadexp,No,US
1516,SS1620331546510,character(0),overseaexpnum,No experiences,US
1517,SS1620331546510,character(0),firstlanguage,Yes,US
1518,SS1620331546510,character(0),monolingual,"No, just English",US
1519,SS1620331546510,character(0),targetlanguage,No,US
1520,SS1620331546510,character(0),objectiveses,At least some graduate school,US
1521,SS1620331546510,character(0),subjectiveses,5,US
1522,SS1608681385583,NA,country_born,Yes,US
1523,SS1608681385583,NA,current_in,Yes,US
1524,SS1608681385583,NA,state_grewup,California,US
1525,SS1608688168812,NA,country_born,Yes,US
1526,SS1608688168812,NA,current_in,Yes,US
1527,SS1608688168812,NA,state_grewup,Ohio,US
1528,SS1608698511254,NA,country_born,Yes,US
1529,SS1608698511254,NA,current_in,Yes,US
1530,SS1608698511254,NA,state_grewup,California,US
1531,SS1608700105054,NA,country_born,Yes,US
1532,SS1608700105054,NA,current_in,Yes,US
1533,SS1608700105054,NA,state_grewup,California,US
1534,SS1608700397099,NA,country_born,Yes,US
1535,SS1608700397099,NA,current_in,Yes,US
1536,SS1608700397099,NA,state_grewup,California,US
1537,SS1608704367900,NA,country_born,Yes,US
1538,SS1608704367900,NA,current_in,Yes,US
1539,SS1608704367900,NA,state_grewup,California,US
1540,SS1608705551890,NA,country_born,Yes,US
1541,SS1608705551890,NA,current_in,Yes,US
1542,SS1608705551890,NA,state_grewup,Nevada,US
1543,SS1608708437584,NA,country_born,Yes,US
1544,SS1608708437584,NA,current_in,Yes,US
1545,SS1608708437584,NA,state_grewup,California,US
1546,SS1608737929527,NA,country_born,Yes,US
1547,SS1608737929527,NA,current_in,Yes,US
1548,SS1608737929527,NA,state_grewup,Tennessee,US
1549,SS1608750563425,NA,country_born,Yes,US
1550,SS1608750563425,NA,current_in,Yes,US
1551,SS1608750563425,NA,state_grewup,California,US
1552,SS1608759071639,NA,country_born,Yes,US
1553,SS1608759071639,NA,current_in,Yes,US
1554,SS1608759071639,NA,state_grewup,Connecticut,US
1555,SS1608764841871,NA,country_born,Yes,US
1556,SS1608764841871,NA,current_in,Yes,US
1557,SS1608764841871,NA,state_grewup,California,US
1558,SS1608764844416,NA,country_born,Yes,US
1559,SS1608764844416,NA,current_in,Yes,US
1560,SS1608764844416,NA,state_grewup,Washington,US
1561,SS1608764928854,NA,country_born,Yes,US
1562,SS1608764928854,NA,current_in,Yes,US
1563,SS1608764928854,NA,state_grewup,New York,US
1564,SS1608765105161,NA,country_born,Yes,US
1565,SS1608765105161,NA,current_in,Yes,US
1566,SS1608765105161,NA,state_grewup,California,US
1567,SS1608765292402,NA,country_born,Yes,US
1568,SS1608765292402,NA,current_in,Yes,US
1569,SS1608765292402,NA,state_grewup,California,US
1570,SS1608765554635,NA,country_born,Yes,US
1571,SS1608765554635,NA,current_in,Yes,US
1572,SS1608765554635,NA,state_grewup,California,US
1573,SS1608765717953,NA,country_born,Yes,US
1574,SS1608765717953,NA,current_in,Yes,US
1575,SS1608765717953,NA,state_grewup,Oregon,US
1576,SS1608766095260,NA,country_born,Yes,US
1577,SS1608766095260,NA,current_in,Yes,US
1578,SS1608766095260,NA,state_grewup,New York,US
1579,SS1608766593457,NA,country_born,Yes,US
1580,SS1608766593457,NA,current_in,Yes,US
1581,SS1608766593457,NA,state_grewup,Illinois,US
1582,SS1608766617789,NA,country_born,Yes,US
1583,SS1608766617789,NA,current_in,Yes,US
1584,SS1608766617789,NA,state_grewup,California,US
1585,SS1608766942272,NA,country_born,Yes,US
1586,SS1608766942272,NA,current_in,Yes,US
1587,SS1608766942272,NA,state_grewup,California,US
1588,SS1608767257570,NA,country_born,Yes,US
1589,SS1608767257570,NA,current_in,Yes,US
1590,SS1608767257570,NA,state_grewup,Colorado,US
1591,SS1608768789316,NA,country_born,Yes,US
1592,SS1608768789316,NA,current_in,Yes,US
1593,SS1608768789316,NA,state_grewup,California,US
1594,SS1608770272900,NA,country_born,Yes,US
1595,SS1608770272900,NA,current_in,Yes,US
1596,SS1608770272900,NA,state_grewup,Florida,US
1597,SS1608771762929,NA,country_born,Yes,US
1598,SS1608771762929,NA,current_in,Yes,US
1599,SS1608771762929,NA,state_grewup,California,US
1600,SS1608773085433,NA,country_born,Yes,US
1601,SS1608773085433,NA,current_in,Yes,US
1602,SS1608773085433,NA,state_grewup,Not applicable,US
1603,SS1608774634252,NA,country_born,Yes,US
1604,SS1608774634252,NA,current_in,Yes,US
1605,SS1608774634252,NA,state_grewup,Texas,US
1606,SS1608775395629,NA,country_born,Yes,US
1607,SS1608775395629,NA,current_in,Yes,US
1608,SS1608775395629,NA,state_grewup,New Jersey,US
1609,SS1608775531570,NA,country_born,Yes,US
1610,SS1608775531570,NA,current_in,Yes,US
1611,SS1608775531570,NA,state_grewup,California,US
1612,SS1608775703963,NA,country_born,Yes,US
1613,SS1608775703963,NA,current_in,Yes,US
1614,SS1608775703963,NA,state_grewup,California,US
1615,SS1608781013661,NA,country_born,Yes,US
1616,SS1608781013661,NA,current_in,Yes,US
1617,SS1608781013661,NA,state_grewup,California,US
1618,SS1608785426067,NA,country_born,Yes,US
1619,SS1608785426067,NA,current_in,Yes,US
1620,SS1608785426067,NA,state_grewup,California,US
1621,SS1608787713278,NA,country_born,Yes,US
1622,SS1608787713278,NA,current_in,Yes,US
1623,SS1608787713278,NA,state_grewup,Massachusetts,US
1624,SS1608788427161,NA,country_born,Yes,US
1625,SS1608788427161,NA,current_in,Yes,US
1626,SS1608788427161,NA,state_grewup,California,US
1627,SS1608788987298,NA,country_born,Yes,US
1628,SS1608788987298,NA,current_in,Yes,US
1629,SS1608788987298,NA,state_grewup,Texas,US
1630,SS1608790005674,NA,country_born,Yes,US
1631,SS1608790005674,NA,current_in,Yes,US
1632,SS1608790005674,NA,state_grewup,California,US
1633,SS1608790890814,NA,country_born,Yes,US
1634,SS1608790890814,NA,current_in,Yes,US
1635,SS1608790890814,NA,state_grewup,Colorado,US
1636,SS1608791220883,NA,country_born,No,US
1637,SS1608791220883,NA,current_in,Yes,US
1638,SS1608791220883,NA,state_grewup,California,US
1639,SS1608792549625,NA,country_born,Yes,US
1640,SS1608792549625,NA,current_in,Yes,US
1641,SS1608792549625,NA,state_grewup,Alabama,US
1642,SS1608794984596,NA,country_born,Yes,US
1643,SS1608794984596,NA,current_in,No,US
1644,SS1608794984596,NA,state_grewup,Not applicable,US
1645,SS1608797392775,NA,country_born,Yes,US
1646,SS1608797392775,NA,current_in,Yes,US
1647,SS1608797392775,NA,state_grewup,California,US
1648,SS1608813710413,NA,country_born,Yes,US
1649,SS1608813710413,NA,current_in,Yes,US
1650,SS1608813710413,NA,state_grewup,California,US
1651,SS1608817521759,NA,country_born,Yes,US
1652,SS1608817521759,NA,current_in,Yes,US
1653,SS1608817521759,NA,state_grewup,New Jersey,US
1654,SS1608831660664,NA,country_born,No,US
1655,SS1608831660664,NA,current_in,Yes,US
1656,SS1608831660664,NA,state_grewup,Virginia,US
1657,SS1608833527308,NA,country_born,Yes,US
1658,SS1608833527308,NA,current_in,Yes,US
1659,SS1608833527308,NA,state_grewup,California,US
1660,SS1608834401052,NA,country_born,Yes,US
1661,SS1608834401052,NA,current_in,Yes,US
1662,SS1608834401052,NA,state_grewup,New Jersey,US
1663,SS1608836302253,NA,country_born,Yes,US
1664,SS1608836302253,NA,current_in,Yes,US
1665,SS1608836302253,NA,state_grewup,California,US
1666,SS1608839691941,NA,country_born,No,US
1667,SS1608839691941,NA,current_in,Yes,US
1668,SS1608839691941,NA,state_grewup,Texas,US
1669,SS1608840412635,NA,country_born,Yes,US
1670,SS1608840412635,NA,current_in,Yes,US
1671,SS1608840412635,NA,state_grewup,Washington,US
1672,SS1608842254932,NA,country_born,No,US
1673,SS1608842254932,NA,current_in,Yes,US
1674,SS1608842254932,NA,state_grewup,Illinois,US
1675,SS1608843808592,NA,country_born,Yes,US
1676,SS1608843808592,NA,current_in,Yes,US
1677,SS1608843808592,NA,state_grewup,California,US
1678,SS1608846102155,NA,country_born,Yes,US
1679,SS1608846102155,NA,current_in,Yes,US
1680,SS1608846102155,NA,state_grewup,California,US
1681,SS1608850322225,NA,country_born,Yes,US
1682,SS1608850322225,NA,current_in,Yes,US
1683,SS1608850322225,NA,state_grewup,Washington,US
1684,SS1608853349801,NA,country_born,Yes,US
1685,SS1608853349801,NA,current_in,Yes,US
1686,SS1608853349801,NA,state_grewup,Arizona,US
1687,SS1608858288834,NA,country_born,Yes,US
1688,SS1608858288834,NA,current_in,Yes,US
1689,SS1608858288834,NA,state_grewup,Nebraska,US
1690,SS1608863463604,NA,country_born,Yes,US
1691,SS1608863463604,NA,current_in,Yes,US
1692,SS1608863463604,NA,state_grewup,Michigan,US
1693,SS1608882192490,NA,country_born,Yes,US
1694,SS1608882192490,NA,current_in,Yes,US
1695,SS1608882192490,NA,state_grewup,Oregon,US
1696,SS1608892981654,NA,country_born,No,US
1697,SS1608892981654,NA,current_in,No,US
1698,SS1608892981654,NA,state_grewup,Not applicable,US
1699,SS1608962227801,NA,country_born,Yes,US
1700,SS1608962227801,NA,current_in,Yes,US
1701,SS1608962227801,NA,state_grewup,California,US
1702,SS1608967838850,NA,country_born,Yes,US
1703,SS1608967838850,NA,current_in,Yes,US
1704,SS1608967838850,NA,state_grewup,Illinois,US
1705,SS1608994545018,NA,country_born,Yes,US
1706,SS1608994545018,NA,current_in,Yes,US
1707,SS1608994545018,NA,state_grewup,Connecticut,US
1708,SS1608999598751,NA,country_born,Yes,US
1709,SS1608999598751,NA,current_in,Yes,US
1710,SS1608999598751,NA,state_grewup,Iowa,US
1711,SS1609003293575,NA,country_born,Yes,US
1712,SS1609003293575,NA,current_in,Yes,US
1713,SS1609003293575,NA,state_grewup,Kansas,US
1714,SS1609018219931,NA,country_born,Yes,US
1715,SS1609018219931,NA,current_in,Yes,US
1716,SS1609018219931,NA,state_grewup,California,US
1717,SS1609018845974,NA,country_born,Yes,US
1718,SS1609018845974,NA,current_in,Yes,US
1719,SS1609018845974,NA,state_grewup,Washington,US
1720,SS1609019254082,NA,country_born,Yes,US
1721,SS1609019254082,NA,current_in,Yes,US
1722,SS1609019254082,NA,state_grewup,New York,US
1723,SS1609019285444,NA,country_born,Yes,US
1724,SS1609019285444,NA,current_in,Yes,US
1725,SS1609019285444,NA,state_grewup,Illinois,US
1726,SS1609038733525,NA,country_born,Yes,US
1727,SS1609038733525,NA,current_in,Yes,US
1728,SS1609038733525,NA,state_grewup,Florida,US
1729,SS1609094228968,NA,country_born,Yes,US
1730,SS1609094228968,NA,current_in,Yes,US
1731,SS1609094228968,NA,state_grewup,Vermont,US
1732,SS1609116678756,NA,country_born,Yes,US
1733,SS1609116678756,NA,current_in,Yes,US
1734,SS1609116678756,NA,state_grewup,Michigan,US
1735,SS1609213660616,NA,country_born,Yes,US
1736,SS1609213660616,NA,current_in,Yes,US
1737,SS1609213660616,NA,state_grewup,Utah,US
1738,SS1609273135099,NA,country_born,Yes,US
1739,SS1609273135099,NA,current_in,Yes,US
1740,SS1609273135099,NA,state_grewup,Virginia,US
1741,SS1609275824977,NA,country_born,Yes,US
1742,SS1609275824977,NA,current_in,Yes,US
1743,SS1609275824977,NA,state_grewup,California,US
1744,SS1609422514703,NA,country_born,Yes,US
1745,SS1609422514703,NA,current_in,Yes,US
1746,SS1609422514703,NA,state_grewup,California,US
1747,SS1609540175257,NA,country_born,Yes,US
1748,SS1609540175257,NA,current_in,Yes,US
1749,SS1609540175257,NA,state_grewup,Virginia,US
1750,SS1609542930348,NA,country_born,Yes,US
1751,SS1609542930348,NA,current_in,Yes,US
1752,SS1609542930348,NA,state_grewup,California,US
1753,SS1609545235915,NA,country_born,Yes,US
1754,SS1609545235915,NA,current_in,Yes,US
1755,SS1609545235915,NA,state_grewup,California,US
1756,SS1609790990010,NA,country_born,Yes,US
1757,SS1609790990010,NA,current_in,Yes,US
1758,SS1609790990010,NA,state_grewup,Colorado,US
1759,SS1609815670698,NA,country_born,Yes,US
1760,SS1609815670698,NA,current_in,Yes,US
1761,SS1609815670698,NA,state_grewup,California,US
1762,SS1609866138497,NA,country_born,Yes,US
1763,SS1609866138497,NA,current_in,Yes,US
1764,SS1609866138497,NA,state_grewup,California,US
1765,SS1609871022738,NA,country_born,Yes,US
1766,SS1609871022738,NA,current_in,Yes,US
1767,SS1609871022738,NA,state_grewup,Ohio,US
1768,SS1609871316276,NA,country_born,Yes,US
1769,SS1609871316276,NA,current_in,Yes,US
1770,SS1609871316276,NA,state_grewup,Illinois,US
1771,SS1609872764219,NA,country_born,Yes,US
1772,SS1609872764219,NA,current_in,Yes,US
1773,SS1609872764219,NA,state_grewup,California,US
1774,SS1609876581813,NA,country_born,Yes,US
1775,SS1609876581813,NA,current_in,Yes,US
1776,SS1609876581813,NA,state_grewup,Pennsylvania,US
1777,SS1609881975445,NA,country_born,Yes,US
1778,SS1609881975445,NA,current_in,Yes,US
1779,SS1609881975445,NA,state_grewup,Texas,US
1780,SS1609882680132,NA,country_born,Yes,US
1781,SS1609882680132,NA,current_in,Yes,US
1782,SS1609882680132,NA,state_grewup,California,US
1783,SS1609887442337,NA,country_born,Yes,US
1784,SS1609887442337,NA,current_in,Yes,US
1785,SS1609887442337,NA,state_grewup,California,US
1786,SS1609887605849,NA,country_born,Yes,US
1787,SS1609887605849,NA,current_in,Yes,US
1788,SS1609887605849,NA,state_grewup,Texas,US
1789,SS1609894664188,NA,country_born,Yes,US
1790,SS1609894664188,NA,current_in,Yes,US
1791,SS1609894664188,NA,state_grewup,Minnesota,US
1792,SS1610325353924,NA,country_born,No,US
1793,SS1610325353924,NA,current_in,Yes,US
1794,SS1610325353924,NA,state_grewup,California,US
1795,SS1610329115213,NA,country_born,Yes,US
1796,SS1610329115213,NA,current_in,Yes,US
1797,SS1610329115213,NA,state_grewup,Arizona,US
1798,SS1610329585116,NA,country_born,Yes,US
1799,SS1610329585116,NA,current_in,Yes,US
1800,SS1610329585116,NA,state_grewup,Maine,US
1801,SS1610329892969,NA,country_born,Yes,US
1802,SS1610329892969,NA,current_in,Yes,US
1803,SS1610329892969,NA,state_grewup,Florida,US
1804,SS1610329967001,NA,country_born,Yes,US
1805,SS1610329967001,NA,current_in,Yes,US
1806,SS1610329967001,NA,state_grewup,California,US
1807,SS1610330188396,NA,country_born,Yes,US
1808,SS1610330188396,NA,current_in,Yes,US
1809,SS1610330188396,NA,state_grewup,California,US
1810,SS1610331114334,NA,country_born,No,US
1811,SS1610331114334,NA,current_in,Yes,US
1812,SS1610331114334,NA,state_grewup,Florida,US
1813,SS1610331677410,NA,country_born,Yes,US
1814,SS1610331677410,NA,current_in,Yes,US
1815,SS1610331677410,NA,state_grewup,Washington,US
1816,SS1610335532506,NA,country_born,Yes,US
1817,SS1610335532506,NA,current_in,Yes,US
1818,SS1610335532506,NA,state_grewup,Minnesota,US
1819,SS1610337476353,NA,country_born,Yes,US
1820,SS1610337476353,NA,current_in,Yes,US
1821,SS1610337476353,NA,state_grewup,Washington,US
1822,SS1610337657231,NA,country_born,Yes,US
1823,SS1610337657231,NA,current_in,Yes,US
1824,SS1610337657231,NA,state_grewup,Washington,US
1825,SS1610349328979,NA,country_born,Yes,US
1826,SS1610349328979,NA,current_in,Yes,US
1827,SS1610349328979,NA,state_grewup,Iowa,US
1828,SS1610349331747,NA,country_born,Yes,US
1829,SS1610349331747,NA,current_in,Yes,US
1830,SS1610349331747,NA,state_grewup,Texas,US
1831,SS1610353379381,NA,country_born,Yes,US
1832,SS1610353379381,NA,current_in,Yes,US
1833,SS1610353379381,NA,state_grewup,Iowa,US
1834,SS1610379831079,NA,country_born,Yes,US
1835,SS1610379831079,NA,current_in,Yes,US
1836,SS1610379831079,NA,state_grewup,Not applicable,US
1837,SS1610411161959,NA,country_born,No,US
1838,SS1610411161959,NA,current_in,Yes,US
1839,SS1610411161959,NA,state_grewup,Massachusetts,US
1840,SS1610422818643,NA,country_born,Yes,US
1841,SS1610422818643,NA,current_in,Yes,US
1842,SS1610422818643,NA,state_grewup,Texas,US
1843,SS1610428916963,NA,country_born,Yes,US
1844,SS1610428916963,NA,current_in,Yes,US
1845,SS1610428916963,NA,state_grewup,Minnesota,US
1846,SS1610431776823,NA,country_born,Yes,US
1847,SS1610431776823,NA,current_in,Yes,US
1848,SS1610431776823,NA,state_grewup,California,US
1849,SS1610483870992,NA,country_born,Yes,US
1850,SS1610483870992,NA,current_in,Yes,US
1851,SS1610483870992,NA,state_grewup,Florida,US
1852,SS1610486372688,NA,country_born,Yes,US
1853,SS1610486372688,NA,current_in,Yes,US
1854,SS1610486372688,NA,state_grewup,California,US
1855,SS1610565350865,NA,country_born,Yes,US
1856,SS1610565350865,NA,current_in,Yes,US
1857,SS1610565350865,NA,state_grewup,Florida,US
1858,SS1610575392391,NA,country_born,Yes,US
1859,SS1610575392391,NA,current_in,Yes,US
1860,SS1610575392391,NA,state_grewup,Michigan,US
1861,SS1610579455766,NA,country_born,Yes,US
1862,SS1610579455766,NA,current_in,Yes,US
1863,SS1610579455766,NA,state_grewup,Georgia,US
1864,SS1610579566609,NA,country_born,No,US
1865,SS1610579566609,NA,current_in,Yes,US
1866,SS1610579566609,NA,state_grewup,California,US
1867,SS1610580390276,NA,country_born,Yes,US
1868,SS1610580390276,NA,current_in,Yes,US
1869,SS1610580390276,NA,state_grewup,California,US
1870,SS1610582637995,NA,country_born,Yes,US
1871,SS1610582637995,NA,current_in,Yes,US
1872,SS1610582637995,NA,state_grewup,California,US
1873,SS1610583961642,NA,country_born,Yes,US
1874,SS1610583961642,NA,current_in,Yes,US
1875,SS1610583961642,NA,state_grewup,Colorado,US
