subject,which_regions,demog_question,demog_response,culture
SS1610329585116,character(0),objectiveses,"One or more years of college, no degree",US
SS1610329585116,character(0),subjectiveses,7,US
SS1610329892969,character(0),zipcode,331,US
SS1610329892969,character(0),resimobinum,2,US
SS1610329892969,character(0),abroadexp,No,US
SS1610329892969,character(0),overseaexpnum,Three to five experiences,US
SS1610329892969,character(0),firstlanguage,Yes,US
SS1610329892969,character(0),monolingual,"No, just English",US
SS1610329892969,character(0),targetlanguage,No,US
SS1610329892969,character(0),objectiveses,"One or more years of college, no degree",US
SS1610329892969,character(0),subjectiveses,7,US
SS1610329967001,character(0),zipcode,950,US
SS1610329967001,character(0),resimobinum,1,US
SS1610329967001,character(0),abroadexp,No,US
SS1610329967001,character(0),overseaexpnum,Three to five experiences,US
SS1610329967001,character(0),firstlanguage,Yes,US
SS1610329967001,character(0),monolingual,"Yes, I am multilingual",US
SS1610329967001,character(0),targetlanguage,No,US
SS1610329967001,character(0),objectiveses,"One or more years of college, no degree",US
SS1610329967001,character(0),subjectiveses,6,US
SS1610330188396,character(0),zipcode,950,US
SS1610330188396,character(0),resimobinum,5,US
SS1610330188396,character(0),abroadexp,No,US
SS1610330188396,character(0),overseaexpnum,Six or more experiences,US
SS1610330188396,character(0),firstlanguage,Yes,US
SS1610330188396,character(0),monolingual,"Yes, I am multilingual",US
SS1610330188396,character(0),targetlanguage,Yes,US
SS1610330188396,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610330188396,character(0),subjectiveses,7,US
SS1610330884682,"c(""North America"", ""Asia"")",zipcode,946,US
SS1610330884682,"c(""North America"", ""Asia"")",resimobinum,7,US
SS1610330884682,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1610330884682,"c(""North America"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1610330884682,"c(""North America"", ""Asia"")",firstlanguage,Yes,US
SS1610330884682,"c(""North America"", ""Asia"")",monolingual,"Yes, I am multilingual",US
SS1610330884682,"c(""North America"", ""Asia"")",targetlanguage,Yes,US
SS1610330884682,"c(""North America"", ""Asia"")",objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610330884682,"c(""North America"", ""Asia"")",subjectiveses,8,US
SS1610331114334,character(0),zipcode,330,US
SS1610331114334,character(0),resimobinum,2,US
SS1610331114334,character(0),abroadexp,No,US
SS1610331114334,character(0),overseaexpnum,One experience,US
SS1610331114334,character(0),firstlanguage,Yes,US
SS1610331114334,character(0),monolingual,"Yes, I am multilingual",US
SS1610331114334,character(0),targetlanguage,No,US
SS1610331114334,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610331114334,character(0),subjectiveses,4,US
SS1610331677410,North America,zipcode,980,US
SS1610331677410,North America,resimobinum,8,US
SS1610331677410,North America,abroadexp,Yes,US
SS1610331677410,North America,overseaexpnum,Six or more experiences,US
SS1610331677410,North America,firstlanguage,Yes,US
SS1610331677410,North America,monolingual,"Yes, I am multilingual",US
SS1610331677410,North America,targetlanguage,Yes,US
SS1610331677410,North America,objectiveses,"One or more years of college, no degree",US
SS1610331677410,North America,subjectiveses,6,US
SS1610333744597,character(0),zipcode,913,US
SS1610333744597,character(0),resimobinum,3,US
SS1610333744597,character(0),abroadexp,No,US
SS1610333744597,character(0),overseaexpnum,Three to five experiences,US
SS1610333744597,character(0),firstlanguage,No,US
SS1610333744597,character(0),monolingual,"Yes, I am multilingual",US
SS1610333744597,character(0),targetlanguage,No,US
SS1610333744597,character(0),objectiveses,"One or more years of college, no degree",US
SS1610333744597,character(0),subjectiveses,4,US
SS1610333927237,character(0),zipcode,952,US
SS1610333927237,character(0),resimobinum,2,US
SS1610333927237,character(0),abroadexp,No,US
SS1610333927237,character(0),overseaexpnum,Six or more experiences,US
SS1610333927237,character(0),firstlanguage,Yes,US
SS1610333927237,character(0),monolingual,"No, just English",US
SS1610333927237,character(0),targetlanguage,No,US
SS1610333927237,character(0),objectiveses,"One or more years of college, no degree",US
SS1610333927237,character(0),subjectiveses,10,US
SS1610335532506,character(0),zipcode,557,US
SS1610335532506,character(0),resimobinum,3,US
SS1610335532506,character(0),abroadexp,No,US
SS1610335532506,character(0),overseaexpnum,Six or more experiences,US
SS1610335532506,character(0),firstlanguage,Yes,US
SS1610335532506,character(0),monolingual,"No, just English",US
SS1610335532506,character(0),targetlanguage,No,US
SS1610335532506,character(0),objectiveses,"One or more years of college, no degree",US
SS1610335532506,character(0),subjectiveses,6,US
SS1610337476353,character(0),zipcode,986,US
SS1610337476353,character(0),resimobinum,3,US
SS1610337476353,character(0),abroadexp,No,US
SS1610337476353,character(0),overseaexpnum,Three to five experiences,US
SS1610337476353,character(0),firstlanguage,Yes,US
SS1610337476353,character(0),monolingual,"No, just English",US
SS1610337476353,character(0),targetlanguage,Yes,US
SS1610337476353,character(0),objectiveses,"One or more years of college, no degree",US
SS1610337476353,character(0),subjectiveses,4,US
SS1610337657231,character(0),zipcode,981,US
SS1610337657231,character(0),resimobinum,1,US
SS1610337657231,character(0),abroadexp,No,US
SS1610337657231,character(0),overseaexpnum,Six or more experiences,US
SS1610337657231,character(0),firstlanguage,Yes,US
SS1610337657231,character(0),monolingual,"No, just English",US
SS1610337657231,character(0),targetlanguage,No,US
SS1610337657231,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610337657231,character(0),subjectiveses,6,US
SS1610339757988,"c(""North America"", ""Europe"", ""Asia"")",zipcode,330,US
SS1610339757988,"c(""North America"", ""Europe"", ""Asia"")",resimobinum,12,US
SS1610339757988,"c(""North America"", ""Europe"", ""Asia"")",abroadexp,Yes,US
SS1610339757988,"c(""North America"", ""Europe"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1610339757988,"c(""North America"", ""Europe"", ""Asia"")",firstlanguage,Yes,US
SS1610339757988,"c(""North America"", ""Europe"", ""Asia"")",monolingual,"Yes, I am multilingual",US
SS1610339757988,"c(""North America"", ""Europe"", ""Asia"")",targetlanguage,Yes,US
SS1610339757988,"c(""North America"", ""Europe"", ""Asia"")",objectiveses,"One or more years of college, no degree",US
SS1610339757988,"c(""North America"", ""Europe"", ""Asia"")",subjectiveses,2,US
SS1610345616058,character(0),zipcode,900,US
SS1610345616058,character(0),resimobinum,3,US
SS1610345616058,character(0),abroadexp,No,US
SS1610345616058,character(0),overseaexpnum,Three to five experiences,US
SS1610345616058,character(0),firstlanguage,Yes,US
SS1610345616058,character(0),monolingual,"Yes, I am multilingual",US
SS1610345616058,character(0),targetlanguage,No,US
SS1610345616058,character(0),objectiveses,"One or more years of college, no degree",US
SS1610345616058,character(0),subjectiveses,3,US
SS1610349328979,character(0),zipcode,526,US
SS1610349328979,character(0),resimobinum,1,US
SS1610349328979,character(0),abroadexp,No,US
SS1610349328979,character(0),overseaexpnum,Two experiences,US
SS1610349328979,character(0),firstlanguage,Yes,US
SS1610349328979,character(0),monolingual,"Yes, I am multilingual",US
SS1610349328979,character(0),targetlanguage,No,US
SS1610349328979,character(0),objectiveses,"One or more years of college, no degree",US
SS1610349328979,character(0),subjectiveses,3,US
SS1610349331747,character(0),zipcode,786,US
SS1610349331747,character(0),resimobinum,1,US
SS1610349331747,character(0),abroadexp,No,US
SS1610349331747,character(0),overseaexpnum,No experiences,US
SS1610349331747,character(0),firstlanguage,Yes,US
SS1610349331747,character(0),monolingual,"Yes, I am multilingual",US
SS1610349331747,character(0),targetlanguage,No,US
SS1610349331747,character(0),objectiveses,High school graduate/GED,US
SS1610349331747,character(0),subjectiveses,4,US
SS1610353379381,character(0),zipcode,526,US
SS1610353379381,character(0),resimobinum,2,US
SS1610353379381,character(0),abroadexp,No,US
SS1610353379381,character(0),overseaexpnum,Three to five experiences,US
SS1610353379381,character(0),firstlanguage,Yes,US
SS1610353379381,character(0),monolingual,"Yes, I am multilingual",US
SS1610353379381,character(0),targetlanguage,No,US
SS1610353379381,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610353379381,character(0),subjectiveses,5,US
SS1610379831079,character(0),zipcode,112,US
SS1610379831079,character(0),resimobinum,10,US
SS1610379831079,character(0),abroadexp,No,US
SS1610379831079,character(0),overseaexpnum,Six or more experiences,US
SS1610379831079,character(0),firstlanguage,Yes,US
SS1610379831079,character(0),monolingual,"Yes, I am multilingual",US
SS1610379831079,character(0),targetlanguage,No,US
SS1610379831079,character(0),objectiveses,At least some graduate school,US
SS1610379831079,character(0),subjectiveses,6,US
SS1610385985080,"c(""North America"", ""Asia"")",zipcode,117,US
SS1610385985080,"c(""North America"", ""Asia"")",resimobinum,2,US
SS1610385985080,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1610385985080,"c(""North America"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1610385985080,"c(""North America"", ""Asia"")",firstlanguage,Yes,US
SS1610385985080,"c(""North America"", ""Asia"")",monolingual,"Yes, I am multilingual",US
SS1610385985080,"c(""North America"", ""Asia"")",targetlanguage,Yes,US
SS1610385985080,"c(""North America"", ""Asia"")",objectiveses,"One or more years of college, no degree",US
SS1610385985080,"c(""North America"", ""Asia"")",subjectiveses,10,US
SS1610399675293,character(0),zipcode,478,US
SS1610399675293,character(0),resimobinum,2,US
SS1610399675293,character(0),abroadexp,No,US
SS1610399675293,character(0),overseaexpnum,Three to five experiences,US
SS1610399675293,character(0),firstlanguage,Yes,US
SS1610399675293,character(0),monolingual,"No, just English",US
SS1610399675293,character(0),targetlanguage,No,US
SS1610399675293,character(0),objectiveses,At least some graduate school,US
SS1610399675293,character(0),subjectiveses,7,US
SS1610411161959,character(0),zipcode,943,US
SS1610411161959,character(0),resimobinum,2,US
SS1610411161959,character(0),abroadexp,No,US
SS1610411161959,character(0),overseaexpnum,Six or more experiences,US
SS1610411161959,character(0),firstlanguage,Yes,US
SS1610411161959,character(0),monolingual,"Yes, I am multilingual",US
SS1610411161959,character(0),targetlanguage,Yes,US
SS1610411161959,character(0),objectiveses,"One or more years of college, no degree",US
SS1610411161959,character(0),subjectiveses,7,US
SS1610422818643,character(0),zipcode,799,US
SS1610422818643,character(0),resimobinum,2,US
SS1610422818643,character(0),abroadexp,No,US
SS1610422818643,character(0),overseaexpnum,Six or more experiences,US
SS1610422818643,character(0),firstlanguage,Yes,US
SS1610422818643,character(0),monolingual,"Yes, I am multilingual",US
SS1610422818643,character(0),targetlanguage,No,US
SS1610422818643,character(0),objectiveses,"One or more years of college, no degree",US
SS1610422818643,character(0),subjectiveses,8,US
SS1610428916963,character(0),zipcode,531,US
SS1610428916963,character(0),resimobinum,6,US
SS1610428916963,character(0),abroadexp,No,US
SS1610428916963,character(0),overseaexpnum,Six or more experiences,US
SS1610428916963,character(0),firstlanguage,Yes,US
SS1610428916963,character(0),monolingual,"Yes, I am multilingual",US
SS1610428916963,character(0),targetlanguage,No,US
SS1610428916963,character(0),objectiveses,At least some graduate school,US
SS1610428916963,character(0),subjectiveses,4,US
SS1610431776823,character(0),zipcode,950,US
SS1610431776823,character(0),resimobinum,3,US
SS1610431776823,character(0),abroadexp,No,US
SS1610431776823,character(0),overseaexpnum,Six or more experiences,US
SS1610431776823,character(0),firstlanguage,Yes,US
SS1610431776823,character(0),monolingual,"Yes, I am multilingual",US
SS1610431776823,character(0),targetlanguage,Yes,US
SS1610431776823,character(0),objectiveses,At least some graduate school,US
SS1610431776823,character(0),subjectiveses,4,US
SS1610483870992,character(0),zipcode,333,US
SS1610483870992,character(0),resimobinum,2,US
SS1610483870992,character(0),abroadexp,No,US
SS1610483870992,character(0),overseaexpnum,Six or more experiences,US
SS1610483870992,character(0),firstlanguage,Yes,US
SS1610483870992,character(0),monolingual,"Yes, I am multilingual",US
SS1610483870992,character(0),targetlanguage,No,US
SS1610483870992,character(0),objectiveses,"One or more years of college, no degree",US
SS1610483870992,character(0),subjectiveses,7,US
SS1610486372688,character(0),zipcode,945,US
SS1610486372688,character(0),resimobinum,4,US
SS1610486372688,character(0),abroadexp,No,US
SS1610486372688,character(0),overseaexpnum,Six or more experiences,US
SS1610486372688,character(0),firstlanguage,Yes,US
SS1610486372688,character(0),monolingual,"Yes, I am multilingual",US
SS1610486372688,character(0),targetlanguage,No,US
SS1610486372688,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610486372688,character(0),subjectiveses,9,US
SS1610565350865,character(0),zipcode,330,US
SS1610565350865,character(0),resimobinum,2,US
SS1610565350865,character(0),abroadexp,No,US
SS1610565350865,character(0),overseaexpnum,Three to five experiences,US
SS1610565350865,character(0),firstlanguage,Yes,US
SS1610565350865,character(0),monolingual,"No, just English",US
SS1610565350865,character(0),targetlanguage,No,US
SS1610565350865,character(0),objectiveses,"One or more years of college, no degree",US
SS1610565350865,character(0),subjectiveses,7,US
SS1610575392391,character(0),zipcode,,US
SS1610575392391,character(0),resimobinum,2,US
SS1610575392391,character(0),abroadexp,No,US
SS1610575392391,character(0),overseaexpnum,Six or more experiences,US
SS1610575392391,character(0),firstlanguage,Yes,US
SS1610575392391,character(0),monolingual,"Yes, I am multilingual",US
SS1610575392391,character(0),targetlanguage,No,US
SS1610575392391,character(0),objectiveses,"One or more years of college, no degree",US
SS1610575392391,character(0),subjectiveses,7,US
SS1610579455766,character(0),zipcode,300,US
SS1610579455766,character(0),resimobinum,4,US
SS1610579455766,character(0),abroadexp,No,US
SS1610579455766,character(0),overseaexpnum,Three to five experiences,US
SS1610579455766,character(0),firstlanguage,Yes,US
SS1610579455766,character(0),monolingual,"No, just English",US
SS1610579455766,character(0),targetlanguage,Yes,US
SS1610579455766,character(0),objectiveses,High school graduate/GED,US
SS1610579455766,character(0),subjectiveses,7,US
SS1610579566609,character(0),zipcode,852,US
SS1610579566609,character(0),resimobinum,3,US
SS1610579566609,character(0),abroadexp,No,US
SS1610579566609,character(0),overseaexpnum,Six or more experiences,US
SS1610579566609,character(0),firstlanguage,No,US
SS1610579566609,character(0),monolingual,"Yes, I am multilingual",US
SS1610579566609,character(0),targetlanguage,No,US
SS1610579566609,character(0),objectiveses,"One or more years of college, no degree",US
SS1610579566609,character(0),subjectiveses,4,US
SS1610580390276,character(0),zipcode,947,US
SS1610580390276,character(0),resimobinum,2,US
SS1610580390276,character(0),abroadexp,No,US
SS1610580390276,character(0),overseaexpnum,One experience,US
SS1610580390276,character(0),firstlanguage,Yes,US
SS1610580390276,character(0),monolingual,"Yes, I am multilingual",US
SS1610580390276,character(0),targetlanguage,No,US
SS1610580390276,character(0),objectiveses,High school graduate/GED,US
SS1610580390276,character(0),subjectiveses,2,US
SS1610582637995,character(0),zipcode,941,US
SS1610582637995,character(0),resimobinum,4,US
SS1610582637995,character(0),abroadexp,No,US
SS1610582637995,character(0),overseaexpnum,Three to five experiences,US
SS1610582637995,character(0),firstlanguage,Yes,US
SS1610582637995,character(0),monolingual,"Yes, I am multilingual",US
SS1610582637995,character(0),targetlanguage,Yes,US
SS1610582637995,character(0),objectiveses,"One or more years of college, no degree",US
SS1610582637995,character(0),subjectiveses,2,US
SS1610583961642,character(0),zipcode,800,US
SS1610583961642,character(0),resimobinum,2,US
SS1610583961642,character(0),abroadexp,No,US
SS1610583961642,character(0),overseaexpnum,Three to five experiences,US
SS1610583961642,character(0),firstlanguage,Yes,US
SS1610583961642,character(0),monolingual,"No, just English",US
SS1610583961642,character(0),targetlanguage,No,US
SS1610583961642,character(0),objectiveses,"One or more years of college, no degree",US
SS1610583961642,character(0),subjectiveses,7,US
SS1610588311801,character(0),zipcode,926,US
SS1610588311801,character(0),resimobinum,3,US
SS1610588311801,character(0),abroadexp,No,US
SS1610588311801,character(0),overseaexpnum,Three to five experiences,US
SS1610588311801,character(0),firstlanguage,Yes,US
SS1610588311801,character(0),monolingual,"Yes, I am multilingual",US
SS1610588311801,character(0),targetlanguage,No,US
SS1610588311801,character(0),objectiveses,"One or more years of college, no degree",US
SS1610588311801,character(0),subjectiveses,8,US
SS1610591368593,character(0),zipcode,945,US
SS1610591368593,character(0),resimobinum,2,US
SS1610591368593,character(0),abroadexp,No,US
SS1610591368593,character(0),overseaexpnum,Three to five experiences,US
SS1610591368593,character(0),firstlanguage,Yes,US
SS1610591368593,character(0),monolingual,"Yes, I am multilingual",US
SS1610591368593,character(0),targetlanguage,No,US
SS1610591368593,character(0),objectiveses,Two-year college degree/vocational school,US
SS1610591368593,character(0),subjectiveses,3,US
SS1610597241570,North America,zipcode,940,US
SS1610597241570,North America,resimobinum,4,US
SS1610597241570,North America,abroadexp,Yes,US
SS1610597241570,North America,overseaexpnum,Two experiences,US
SS1610597241570,North America,firstlanguage,No,US
SS1610597241570,North America,monolingual,"Yes, I am multilingual",US
SS1610597241570,North America,targetlanguage,No,US
SS1610597241570,North America,objectiveses,Two-year college degree/vocational school,US
SS1610597241570,North America,subjectiveses,3,US
SS1610598388740,character(0),zipcode,947,US
SS1610598388740,character(0),resimobinum,6,US
SS1610598388740,character(0),abroadexp,No,US
SS1610598388740,character(0),overseaexpnum,Two experiences,US
SS1610598388740,character(0),firstlanguage,Yes,US
SS1610598388740,character(0),monolingual,"No, just English",US
SS1610598388740,character(0),targetlanguage,No,US
SS1610598388740,character(0),objectiveses,Two-year college degree/vocational school,US
SS1610598388740,character(0),subjectiveses,4,US
SS1610598730214,character(0),zipcode,856,US
SS1610598730214,character(0),resimobinum,1,US
SS1610598730214,character(0),abroadexp,No,US
SS1610598730214,character(0),overseaexpnum,Six or more experiences,US
SS1610598730214,character(0),firstlanguage,Yes,US
SS1610598730214,character(0),monolingual,"Yes, I am multilingual",US
SS1610598730214,character(0),targetlanguage,No,US
SS1610598730214,character(0),objectiveses,"One or more years of college, no degree",US
SS1610598730214,character(0),subjectiveses,6,US
SS1610603063441,character(0),zipcode,706,US
SS1610603063441,character(0),resimobinum,1,US
SS1610603063441,character(0),abroadexp,No,US
SS1610603063441,character(0),overseaexpnum,No experiences,US
SS1610603063441,character(0),firstlanguage,Yes,US
SS1610603063441,character(0),monolingual,"No, just English",US
SS1610603063441,character(0),targetlanguage,No,US
SS1610603063441,character(0),objectiveses,"One or more years of college, no degree",US
SS1610603063441,character(0),subjectiveses,6,US
SS1610641894562,South America,zipcode,940,US
SS1610641894562,South America,resimobinum,5,US
SS1610641894562,South America,abroadexp,Yes,US
SS1610641894562,South America,overseaexpnum,Six or more experiences,US
SS1610641894562,South America,firstlanguage,No,US
SS1610641894562,South America,monolingual,"Yes, I am multilingual",US
SS1610641894562,South America,targetlanguage,No,US
SS1610641894562,South America,objectiveses,High school graduate/GED,US
SS1610641894562,South America,subjectiveses,5,US
SS1610649528260,character(0),zipcode,921,US
SS1610649528260,character(0),resimobinum,1,US
SS1610649528260,character(0),abroadexp,No,US
SS1610649528260,character(0),overseaexpnum,Three to five experiences,US
SS1610649528260,character(0),firstlanguage,Yes,US
SS1610649528260,character(0),monolingual,"No, just English",US
SS1610649528260,character(0),targetlanguage,Yes,US
SS1610649528260,character(0),objectiveses,High school graduate/GED,US
SS1610649528260,character(0),subjectiveses,7,US
SS1610656625152,character(0),zipcode,957,US
SS1610656625152,character(0),resimobinum,3,US
SS1610656625152,character(0),abroadexp,No,US
SS1610656625152,character(0),overseaexpnum,One experience,US
SS1610656625152,character(0),firstlanguage,Yes,US
SS1610656625152,character(0),monolingual,"Yes, I am multilingual",US
SS1610656625152,character(0),targetlanguage,No,US
SS1610656625152,character(0),objectiveses,High school graduate/GED,US
SS1610656625152,character(0),subjectiveses,7,US
SS1610672104359,character(0),zipcode,152,US
SS1610672104359,character(0),resimobinum,9,US
SS1610672104359,character(0),abroadexp,No,US
SS1610672104359,character(0),overseaexpnum,Six or more experiences,US
SS1610672104359,character(0),firstlanguage,Yes,US
SS1610672104359,character(0),monolingual,"No, just English",US
SS1610672104359,character(0),targetlanguage,No,US
SS1610672104359,character(0),objectiveses,At least some graduate school,US
SS1610672104359,character(0),subjectiveses,8,US
SS1610677720145,character(0),zipcode,100,US
SS1610677720145,character(0),resimobinum,5,US
SS1610677720145,character(0),abroadexp,No,US
SS1610677720145,character(0),overseaexpnum,Six or more experiences,US
SS1610677720145,character(0),firstlanguage,Yes,US
SS1610677720145,character(0),monolingual,"No, just English",US
SS1610677720145,character(0),targetlanguage,No,US
SS1610677720145,character(0),objectiveses,At least some graduate school,US
SS1610677720145,character(0),subjectiveses,7,US
SS1610745171034,character(0),zipcode,913,US
SS1610745171034,character(0),resimobinum,2,US
SS1610745171034,character(0),abroadexp,No,US
SS1610745171034,character(0),overseaexpnum,Three to five experiences,US
SS1610745171034,character(0),firstlanguage,Yes,US
SS1610745171034,character(0),monolingual,"Yes, I am multilingual",US
SS1610745171034,character(0),targetlanguage,No,US
SS1610745171034,character(0),objectiveses,"One or more years of college, no degree",US
SS1610745171034,character(0),subjectiveses,7,US
SS1610746075917,character(0),zipcode,410,US
SS1610746075917,character(0),resimobinum,2,US
SS1610746075917,character(0),abroadexp,No,US
SS1610746075917,character(0),overseaexpnum,Three to five experiences,US
SS1610746075917,character(0),firstlanguage,Yes,US
SS1610746075917,character(0),monolingual,"Yes, I am multilingual",US
SS1610746075917,character(0),targetlanguage,No,US
SS1610746075917,character(0),objectiveses,"One or more years of college, no degree",US
SS1610746075917,character(0),subjectiveses,6,US
SS1610771199717,character(0),zipcode,947,US
SS1610771199717,character(0),resimobinum,1,US
SS1610771199717,character(0),abroadexp,No,US
SS1610771199717,character(0),overseaexpnum,Six or more experiences,US
SS1610771199717,character(0),firstlanguage,Yes,US
SS1610771199717,character(0),monolingual,"No, just English",US
SS1610771199717,character(0),targetlanguage,Yes,US
SS1610771199717,character(0),objectiveses,"One or more years of college, no degree",US
SS1610771199717,character(0),subjectiveses,7,US
SS1610831055555,character(0),zipcode,945,US
SS1610831055555,character(0),resimobinum,4,US
SS1610831055555,character(0),abroadexp,No,US
SS1610831055555,character(0),overseaexpnum,Three to five experiences,US
SS1610831055555,character(0),firstlanguage,Yes,US
SS1610831055555,character(0),monolingual,"No, just English",US
SS1610831055555,character(0),targetlanguage,Yes,US
SS1610831055555,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610831055555,character(0),subjectiveses,7,US
SS1610835727512,character(0),zipcode,050,US
SS1610835727512,character(0),resimobinum,9,US
SS1610835727512,character(0),abroadexp,No,US
SS1610835727512,character(0),overseaexpnum,Six or more experiences,US
SS1610835727512,character(0),firstlanguage,Yes,US
SS1610835727512,character(0),monolingual,"No, just English",US
SS1610835727512,character(0),targetlanguage,No,US
SS1610835727512,character(0),objectiveses,At least some graduate school,US
SS1610835727512,character(0),subjectiveses,9,US
SS1610925520418,character(0),zipcode,981,US
SS1610925520418,character(0),resimobinum,6,US
SS1610925520418,character(0),abroadexp,No,US
SS1610925520418,character(0),overseaexpnum,Three to five experiences,US
SS1610925520418,character(0),firstlanguage,Yes,US
SS1610925520418,character(0),monolingual,"No, just English",US
SS1610925520418,character(0),targetlanguage,Yes,US
SS1610925520418,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610925520418,character(0),subjectiveses,4,US
SS1610925743741,character(0),zipcode,981,US
SS1610925743741,character(0),resimobinum,11,US
SS1610925743741,character(0),abroadexp,No,US
SS1610925743741,character(0),overseaexpnum,Three to five experiences,US
SS1610925743741,character(0),firstlanguage,Yes,US
SS1610925743741,character(0),monolingual,"No, just English",US
SS1610925743741,character(0),targetlanguage,No,US
SS1610925743741,character(0),objectiveses,Two-year college degree/vocational school,US
SS1610925743741,character(0),subjectiveses,7,US
SS1610926667734,character(0),zipcode,200,US
SS1610926667734,character(0),resimobinum,8,US
SS1610926667734,character(0),abroadexp,No,US
SS1610926667734,character(0),overseaexpnum,Six or more experiences,US
SS1610926667734,character(0),firstlanguage,Yes,US
SS1610926667734,character(0),monolingual,"Yes, I am multilingual",US
SS1610926667734,character(0),targetlanguage,No,US
SS1610926667734,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610926667734,character(0),subjectiveses,7,US
SS1610945004450,character(0),zipcode,921,US
SS1610945004450,character(0),resimobinum,3,US
SS1610945004450,character(0),abroadexp,No,US
SS1610945004450,character(0),overseaexpnum,No experiences,US
SS1610945004450,character(0),firstlanguage,Yes,US
SS1610945004450,character(0),monolingual,"Yes, I am multilingual",US
SS1610945004450,character(0),targetlanguage,Yes,US
SS1610945004450,character(0),objectiveses,Four-/Five-year college Bachelor's degree,US
SS1610945004450,character(0),subjectiveses,6,US
SS1611274819488,"c(""North America"", ""Asia"")",zipcode,704,US
SS1611274819488,"c(""North America"", ""Asia"")",resimobinum,7,US
SS1611274819488,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1611274819488,"c(""North America"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1611274819488,"c(""North America"", ""Asia"")",firstlanguage,,US
SS1611274819488,"c(""North America"", ""Asia"")",monolingual,,US
SS1611274819488,"c(""North America"", ""Asia"")",targetlanguage,,US
SS1611274819488,"c(""North America"", ""Asia"")",objectiveses,High school graduate/GED,US
SS1611274819488,"c(""North America"", ""Asia"")",subjectiveses,3,US
SS1611351431073,"c(""North America"", ""Asia"")",zipcode,980,US
SS1611351431073,"c(""North America"", ""Asia"")",resimobinum,8,US
SS1611351431073,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1611351431073,"c(""North America"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1611351431073,"c(""North America"", ""Asia"")",firstlanguage,Yes,US
SS1611351431073,"c(""North America"", ""Asia"")",monolingual,"Yes, I am multilingual",US
SS1611351431073,"c(""North America"", ""Asia"")",targetlanguage,No,US
SS1611351431073,"c(""North America"", ""Asia"")",objectiveses,"One or more years of college, no degree",US
SS1611351431073,"c(""North America"", ""Asia"")",subjectiveses,8,US
SS1611352572239,"c(""North America"", ""Asia"")",zipcode,065,US
SS1611352572239,"c(""North America"", ""Asia"")",resimobinum,8,US
SS1611352572239,"c(""North America"", ""Asia"")",abroadexp,Yes,US
SS1611352572239,"c(""North America"", ""Asia"")",overseaexpnum,Six or more experiences,US
SS1611352572239,"c(""North America"", ""Asia"")",firstlanguage,Yes,US
SS1611352572239,"c(""North America"", ""Asia"")",monolingual,"No, just English",US
SS1611352572239,"c(""North America"", ""Asia"")",targetlanguage,No,US
SS1611352572239,"c(""North America"", ""Asia"")",objectiveses,At least some graduate school,US
SS1611352572239,"c(""North America"", ""Asia"")",subjectiveses,9,US
SS1611355150195,character(0),zipcode,944,US
SS1611355150195,character(0),resimobinum,1,US
SS1611355150195,character(0),abroadexp,No,US
SS1611355150195,character(0),overseaexpnum,Six or more experiences,US
SS1611355150195,character(0),firstlanguage,Yes,US
SS1611355150195,character(0),monolingual,"No, just English",US
SS1611355150195,character(0),targetlanguage,Yes,US
SS1611355150195,character(0),objectiveses,"One or more years of college, no degree",US
SS1611355150195,character(0),subjectiveses,8,US
SS1611358368668,character(0),zipcode,928,US
SS1611358368668,character(0),resimobinum,3,US
SS1611358368668,character(0),abroadexp,No,US
SS1611358368668,character(0),overseaexpnum,Three to five experiences,US
SS1611358368668,character(0),firstlanguage,Yes,US
SS1611358368668,character(0),monolingual,"Yes, I am multilingual",US
SS1611358368668,character(0),targetlanguage,No,US
SS1611358368668,character(0),objectiveses,High school graduate/GED,US
SS1611358368668,character(0),subjectiveses,6,US
SS1611369510717,character(0),zipcode,911,US
SS1611369510717,character(0),resimobinum,3,US
SS1611369510717,character(0),abroadexp,No,US
SS1611369510717,character(0),overseaexpnum,Three to five experiences,US
SS1611369510717,character(0),firstlanguage,Yes,US
SS1611369510717,character(0),monolingual,"No, just English",US
SS1611369510717,character(0),targetlanguage,No,US
SS1611369510717,character(0),objectiveses,At least some graduate school,US
SS1611369510717,character(0),subjectiveses,7,US
SS1619809958500,North America,zipcode,719,US
SS1619809958500,North America,resimobinum,2,US
SS1619809958500,North America,abroadexp,Yes,US
